epsilon,method,metric,median_mixing_time,q10_mixing_time,q90_mixing_time,n_points,n_censored,censoring_fraction,maximum_censoring_time,threshold,bias_floor,N_particles
0.16,Langevin,KDE_chi2,18.39454383395902,18.151444135712865,18.63764353220517,8,0,0.0,64.82658619897451,0.05,0.015002806081204658,6000
0.16,Langevin,W1,27.47026590181545,26.287180703684164,28.183358350004166,8,0,0.0,64.82658619897451,0.08,0.0266237201526247,6000
0.16,Langevin,bin_chi2_M120,12.479117843302593,12.154984912307722,12.851870713946697,8,0,0.0,64.82658619897451,0.14,0.026612866666666655,6000
0.16,Langevin,bin_chi2_M40,17.341111808225683,16.91973899793235,17.64903809267081,8,0,0.0,64.82658619897451,0.06,0.008686022222222221,6000
0.16,Langevin,bin_chi2_M80,14.42391542927183,14.051162558627725,14.845288239565162,8,0,0.0,64.82658619897451,0.1,0.017484577777777774,6000
0.16,Langevin,well_TV,21.635873143907745,20.971400635368255,22.899991574787748,8,0,0.0,64.82658619897451,0.075,0.015005000000000017,6000
0.18,LSC-CP,CDF_sup,1.84,1.788,1.8800000000000001,8,0,0.0,16.0,0.064585,0.021528333333333333,6000
0.18,LSC-CP,KDE_chi2,1.3800000000000001,1.348,1.452,8,0,0.0,16.0,0.05,0.01201822878263176,6000
0.18,LSC-CP,W1,1.9,1.84,1.984,8,0,0.0,16.0,0.09511906674803852,0.03170635558267951,6000
0.18,LSC-CP,bin_chi2_M120,1.0,1.0,1.04,8,0,0.0,16.0,0.14,0.025127666666666666,6000
0.18,LSC-CP,bin_chi2_M40,1.34,1.28,1.372,8,0,0.0,16.0,0.06,0.009893999999999997,6000
0.18,LSC-CP,bin_chi2_M80,1.16,1.08,1.2,8,0,0.0,16.0,0.1,0.01919746666666666,6000
0.18,LSC-CP,well_TV,1.6600000000000001,1.588,1.72,8,0,0.0,16.0,0.075,0.019776666666666644,6000
0.18,Langevin,CDF_sup,19.14309148110703,18.364165689806814,19.75038955568008,8,0,0.0,52.80852822374354,0.064585,0.021528333333333333,6000
0.18,Langevin,KDE_chi2,14.72037724236851,14.350717544802306,14.958015619375356,8,0,0.0,52.80852822374354,0.05,0.01201822878263176,6000
0.18,Langevin,W1,21.05740062921773,20.81976225221089,21.51947525117549,8,0,0.0,52.80852822374354,0.09511906674803852,0.03170635558267951,6000
0.18,Langevin,bin_chi2_M120,10.495694984469026,10.178843815126566,10.693726965308066,8,0,0.0,52.80852822374354,0.14,0.025127666666666666,6000
0.18,Langevin,bin_chi2_M40,14.060270639571716,13.743419470229254,14.561951657697279,8,0,0.0,52.80852822374354,0.06,0.009893999999999997,6000
0.18,Langevin,bin_chi2_M80,11.815908190062615,11.57826981305577,12.145961491461012,8,0,0.0,52.80852822374354,0.1,0.01919746666666666,6000
0.18,Langevin,well_TV,17.558835634394725,17.043952484213225,18.50938914242211,8,0,0.0,52.80852822374354,0.075,0.019776666666666644,6000
0.2,LSC-CP,CDF_sup,1.8,1.748,1.8920000000000001,8,0,0.0,16.0,0.06,0.01742583333333336,6000
